AED,1.03,1.00
AUD,2.93,1.00
BGN,2.39,1.00
BRL,1.16,1.00
CAD,2.94,1.00
CHF,4.00,1.00
CNY,0.60,1.00
CZK,0.18,1.00
DKK,0.63,1.00
EGP,0.22,1.00
EUR,4.67,1.00
GBP,5.36,1.00
HRK,0.63,1.00
HUF,1.50,100.00
INR,0.06,1.00
JPY,3.59,100.00
KRW,0.35,100.00
MDL,0.23,1.00
MXN,0.21,1.00
NOK,0.49,1.00
NZD,2.74,1.00
PLN,1.11,1.00
RSD,0.04,1.00
RUB,0.07,1.00
SEK,0.46,1.00
THB,0.12,1.00
TRY,0.97,1.00
UAH,0.14,1.00
USD,3.79,1.00
XAU,161.99,1.00
XDR,5.51,1.00
ZAR,0.32,1.00
